Feature,Importance_RF,Importance_XGB,Average_Importance
Financial Loss (in Million $),0.0,0.0,0.0
Number of Affected Users,0.0,0.0,0.0
Incident Resolution Time (in Hours),0.0,0.0,0.0
Year,0.0,0.0,0.0
Defense Mechanism Used_AI-based Detection,0.0,0.0,0.0
Attack Source_Nation-state,0.0,0.0,0.0
Attack Source_Unknown,0.0,0.0,0.0
Defense Mechanism Used_Antivirus,0.0,0.0,0.0
Security Vulnerability Type_Social Engineering,0.0,0.0,0.0
Attack Source_Hacker Group,0.0,0.0,0.0
Security Vulnerability Type_Zero-day,0.0,0.0,0.0
Defense Mechanism Used_VPN,0.0,0.0,0.0
Security Vulnerability Type_Weak Passwords,0.0,0.0,0.0
Defense Mechanism Used_Encryption,0.0,0.0,0.0
Defense Mechanism Used_Firewall,0.0,0.0,0.0
Target Industry_Government,0.0,0.0,0.0
Country_Russia,0.0,0.0,0.0
Target Industry_Healthcare,0.0,0.0,0.0
Country_UK,0.0,0.0,0.0
Country_Germany,0.0,0.0,0.0
Target Industry_Education,0.0,0.0,0.0
Attack Source_Insider,0.0,0.0,0.0
Country_China,0.0,0.0,0.0
Country_Brazil,0.0,0.0,0.0
Target Industry_IT,0.0,0.0,0.0
Target Industry_Banking,0.0,0.0,0.0
Security Vulnerability Type_Unpatched Software,0.0,0.0,0.0
Country_Japan,0.0,0.0,0.0
Target Industry_Retail,0.0,0.0,0.0
Country_India,0.0,0.0,0.0
Target Industry_Telecommunications,0.0,0.0,0.0
Country_France,0.0,0.0,0.0
Country_Australia,0.0,0.0,0.0
Country_USA,0.0,0.0,0.0
